;title;adress;link;price
0;1 мин пешком от метро Киевская1-комн. кв., 40 м², 4/9 этаж;Киевская2 минуты пешкомМосква,ЗАО,р-н Дорогомилово,м. Киевская,Брянская улица,2;https://www.cian.ru/rent/flat/174425752/;2700
1;Эксклюзивный вариант.2-комн. кв., 94 м², 6/6 этаж;Чистые пруды10 минут пешкомМосква,ЦАО,р-н Басманный,м. Чистые пруды,Покровский бульвар,4/17С10;https://www.cian.ru/rent/flat/250755342/;350000
2;Большая двушка в лайнере2-комн. апарт., 65 м², 11/15 этаж;ЦСКА3 минуты пешкомМосква,САО,р-н Хорошевский,м. ЦСКА,Ходынский бульвар,2;https://www.cian.ru/rent/flat/250423037/;89900
3;Элитная квартира в центре Москвы1-комн. кв., 63,2 м², 10/14 этаж;Киевская4 минуты пешкомМосква,ЗАО,р-н Дорогомилово,м. Киевская,Большая Дорогомиловская улица,4;https://www.cian.ru/rent/flat/247145594/;2500
4;ВСЕ объекты в сити2-комн. апарт., 101 м², 50/75 этаж;Выставочная7 минут пешкомМосква,ЦАО,р-н Пресненский,м. Выставочная,1-й Красногвардейский проезд,15;https://www.cian.ru/rent/flat/250797218/;350000
5;Сервис Hyatt включен в цену2-комн. апарт., 94 м², 6/10 этаж;Динамо7 минут пешкомМосква,САО,р-н Аэропорт,м. Динамо,Ленинградский проспект,36с31;https://www.cian.ru/rent/flat/241183388/;350000
6;УБОРКА в подарок! Топ цена и ВИД!2-комн. апарт., 65 м², 11/79 этаж;Международная5 минут пешкомМосква,ЦАО,р-н Пресненский,м. Международная,1-й Красногвардейский проезд,22с2;https://www.cian.ru/rent/flat/248752690/;189000
7;ВСЯ недвижимость в сити2-комн. апарт., 70 м², 57/75 этаж;Выставочная7 минут пешкомМосква,ЦАО,р-н Пресненский,м. Выставочная,1-й Красногвардейский проезд,15;https://www.cian.ru/rent/flat/250797802/;320000
8;Покажем все в Сити: онлайн/офлайн2-комн. апарт., 72 м², 24/79 этаж;Международная5 минут пешкомМосква,ЦАО,р-н Пресненский,м. Международная,1-й Красногвардейский проезд,22с2;https://www.cian.ru/rent/flat/242946556/;200000
9;Покажем все в Сити: онлайн/офлайн2-комн. апарт., 106 м², 48/75 этаж;Деловой центр7 минут пешкомМосква,ЦАО,р-н Пресненский,м. Деловой центр,1-й Красногвардейский проезд,15;https://www.cian.ru/rent/flat/248518137/;350000
10;2-комн. кв., 65 м², 28/68 этаж;Выставочная4 минуты пешкомМосква,ЦАО,р-н Пресненский,м. Выставочная,1-й Красногвардейский проезд,22с2;https://www.cian.ru/rent/flat/250481426/;175000
11;Шикарный апартамент над облаками!2-комн. апарт., 70 м², 76/93 этаж;Деловой центр1 минута пешкомМосква,ЦАО,р-н Пресненский,м. Деловой центр,набережная Пресненская,12;https://www.cian.ru/rent/flat/248934648/;350000
12;2-комн. апартаменты, 62 м²2-комн. апарт., 62 м², 19/77 этаж;Международная5 минут пешкомМосква,ЦАО,р-н Пресненский,м. Международная,1-й Красногвардейский проезд,22с2;https://www.cian.ru/rent/flat/247841627/;170000
13;2-комн. апартаменты, 62 м²2-комн. апарт., 62 м², 36/77 этаж;Международная5 минут пешкомМосква,ЦАО,р-н Пресненский,м. Международная,1-й Красногвардейский проезд,22с2;https://www.cian.ru/rent/flat/247581625/;190000
14;2-комн. апартаменты, 61,9 м²2-комн. апарт., 61,9 м², 28/77 этаж;Выставочная4 минуты пешкомМосква,ЦАО,р-н Пресненский,м. Выставочная,1-й Красногвардейский проезд,22с2;https://www.cian.ru/rent/flat/249676089/;250000
15;2-комн. апартаменты, 77,4 м²2-комн. апарт., 77,4 м², 30/77 этаж;Международная5 минут пешкомМосква,ЦАО,р-н Пресненский,м. Международная,1-й Красногвардейский проезд,22с2;https://www.cian.ru/rent/flat/244362751/;250000
16;2-комн. апартаменты, 60,9 м²2-комн. апарт., 60,9 м², 8/77 этаж;Выставочная4 минуты пешкомМосква,ЦАО,р-н Пресненский,м. Выставочная,1-й Красногвардейский проезд,22с2;https://www.cian.ru/rent/flat/250209956/;250000
17;Кутузовский, 5 мин метро и центр!2-комн. кв., 50,2 м², 9/12 этаж;Славянский бульвар5 минут пешкомМосква,ЗАО,р-н Фили-Давыдково,м. Славянский бульвар,Давыдковская улица,10К5;https://www.cian.ru/rent/flat/193104791/;54900
18;2-комн. апартаменты, 58,4м²2-комн. апарт., 58,4 м², 43/77 этаж;Выставочная4 минуты пешкомМосква,ЦАО,р-н Пресненский,м. Выставочная,1-й Красногвардейский проезд,22с2;https://www.cian.ru/rent/flat/250055133/;270000
19;2-комн. апартаменты, 60 м²2-комн. апарт., 60 м², 10/77 этаж;Международная5 минут пешкомМосква,ЦАО,р-н Пресненский,м. Международная,1-й Красногвардейский проезд,22с2;https://www.cian.ru/rent/flat/238453304/;200000
20;2-комн. апартаменты, 77,3 м²2-комн. апарт., 77,3 м², 36/77 этаж;Международная5 минут пешкомМосква,ЦАО,р-н Пресненский,м. Международная,1-й Красногвардейский проезд,22с2;https://www.cian.ru/rent/flat/242408746/;270000
21;Лучшее предложение района!4-комн. кв., 140 м², 15/24 этаж;Достоевская5 минут пешкомМосква,ЦАО,р-н Тверской,м. Достоевская,2-й Щемиловский переулок,5а;https://www.cian.ru/rent/flat/250129940/;320000
22;Уютная однушка у метро1-комн. кв., 38 м², 7/9 этаж;Домодедовская3 минуты пешкомМосква,ЮАО,р-н Орехово-Борисово Южное,м. Домодедовская,Ореховый бульвар,14К1;https://www.cian.ru/rent/flat/250385175/;2500
23;Лучшие Виды, самый центр!4-комн. кв., 181,4 м², 5/6 этаж;Боровицкая3 минуты пешкомМосква,ЦАО,р-н Хамовники,м. Боровицкая,улица Волхонка,6;https://www.cian.ru/rent/flat/249952108/;400000
24;Покажем все в Сити:онлайн/оффлайн3-комн. апарт., 187 м², 38/75 этаж;Деловой центр3 минуты пешкомМосква,ЦАО,р-н Пресненский,м. Деловой центр,набережная Пресненская,8с1;https://www.cian.ru/rent/flat/247235648/;400000
25;3-комн. кв., 105 м², 2/13 этаж;Маяковская4 минуты пешкомМосква,ЦАО,р-н Пресненский,м. Маяковская,Большая Садовая улица,5к1;https://www.cian.ru/rent/flat/247902121/;300000
26;СУПЕР ЦЕНА! ликвидное предложение3-комн. апарт., 190 м², 22/76 этаж;Деловой центр3 минуты пешкомМосква,ЦАО,р-н Пресненский,м. Деловой центр,набережная Пресненская,8с1;https://www.cian.ru/rent/flat/247435112/;430000
27;Видовые апартаменты4-комн. апарт., 185 м², 24/75 этаж;Деловой центр3 минуты пешкомМосква,ЦАО,р-н Пресненский,м. Деловой центр,набережная Пресненская,8с1;https://www.cian.ru/rent/flat/245425367/;500000
28;Пешком до Кремля!4-комн. кв., 70 м², 1/4 этаж;Маяковская6 минут пешкомМосква,ЦАО,р-н Тверской,м. Маяковская,1-я Брестская улица,40;https://www.cian.ru/rent/flat/193926984/;4190
29;5-комн. кв., 160 м², 8/10 этаж;Фрунзенская9 минут пешкомМосква,ЦАО,р-н Хамовники,м. Фрунзенская,Фрунзенская набережная,36/2;https://www.cian.ru/rent/flat/249634717/;200000
30;Лучшее предложение в ЖК3-комн. кв., 105 м², 2/13 этаж;Маяковская3 минуты пешкомМосква,ЦАО,р-н Пресненский,м. Маяковская,Большая Садовая улица,5;https://www.cian.ru/rent/flat/247835245/;300000
31;Дизайнерский ремонт Паркинг3-комн. кв., 94 м², 11/31 этаж;Фили15 минут пешкомМосква,ЗАО,р-н Филевский парк,м. Фили,Береговой проезд,5к1;https://www.cian.ru/rent/flat/250753574/;180000
